,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
43,Rome: Total War,"September 22, 2004",PC,92,9.0,"Rome: Total War is the next generation in epic strategy gaming from the critically acclaimed and award winning Total War brand. The aim of the game is to conquer, rule and manipulate the Roman Empire with the ultimate goal of being declared as the ""Imperator"" of Rome. Set in a time when the mighty Roman Empire emerged to conquer the known world against powerful enemies; when gladiators fought to a bloody death in the Coliseum; when Spartacus defied the might of the empire; when Hannibal led his invincible army and his war elephants across the Alps to strike fear into the very heart of Rome itself; and when Julius Caesar finally smashed the Barbarian Gauls. This was a time of brutal confrontation between civilisation and barbarism, and of civil war as the ancient world's only superpower turned on itself. A completely new Total War engine uses innovative technology and groundbreaking design to bring the world of ancient Rome to life to deliver the biggest and most cinematic battles ever seen in a videogame. So the battles in Rome: Total War maintain the epic scale that fans of Total War are used to, but now use high-detailed 3D polygonal troops and allows huge cities to be displayed on the battlefields. The result is truly spectacular. [Activision]",58,Creative Assembly,Activision,2,"Strategy,Real-Time,Historic,General,Historic"
44,Okami HD,"December 12, 2017",PC,92,7.7,"In Okami, the player takes the role of the mythical sun goddess Amaterasu, in the form of a wolf. Her task is to restore color (or 'life') to the world by destroying the monsters who have stolen it. Since Amaterasu is a diety, there are naturally people who worship her and people who don't. The more people who worship her (as a result of her restoring color and doing other good deeds for them), the more powerful she becomes.",10,Capcom,Capcom,5,"Action Adventure,General"
45,Undertale,"September 15, 2015",PC,92,8.5,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.",43,tobyfox,tobyfox,5,"Role-Playing,General,Japanese-Style"
46,Thief: The Dark Project,"November 30, 1998",PC,92,9.0,"Sneak through the shadows of 12 treacherous missions including haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city. Stalk your prey on the quest for stolen goods with your blackjack, sword and an assortment of unique arrows. Steal for money and uncover the hidden agendas of your allies and enemies as you play through an unravelling story of deception and revenge. Survive in a world where shadows are your only ally, trust is not an option, and confrontation results in death! [Eidos Interactive]",18,Looking Glass Studios,Eidos Interactive,1,"Action Adventure,Fantasy,General,Fantasy"
47,Age of Empires II: The Age of Kings,"September 30, 1999",PC,92,9.1,"Age of Empires II: The Age of Kings is the sequel to the award-winning, best-selling real-time strategy game ""Age of Empires."" Age of Empires II spans a thousand years, from the fall of Rome through the Middle Ages in which players lead one of 13 civilizations into greatness. The game keeps the epic scope of Age of Empires' game play while evolving the combat and economic features. [Microsoft]",21,Ensemble Studios,Microsoft Game Studios,1,"Strategy,Real-Time,Historic,Historic,Command"
48,Unreal Tournament (1999),"November 30, 1999",PC,92,9.0,"The stakes are high. On the one hand, fame, fortune, glory; on the other hand, death. Prove your skill in the arenas of the future, leading your team of computer-controlled ""bots"" to victory in the Grand Tournament, or compete with the best of the best via LAN or the Internet in seat-of-your-pants battles. While Unreal Tournament offers the finest in classic ""Deathmatch"" play, right out of the box you can compete in Team Deathmatch or Capture the Flag. Control strategic points on the map to rack up your score in Domination, or test your skills in Assault, as one team defends its base from the other. Each game type comes with its own special maps and rules, for never-ending variety and challenge. Add gameplay mutators such as Jump Match or InstaGib, and Unreal Tournament will keep your wits honed to a razor edge. [Infogrames]",21,Epic Games,GT Interactive,1,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
49,Sid Meier's Alpha Centauri,"February 12, 1999",PC,92,8.7,"Legendary designer Sid Meier presents the next evolution in strategy games, with the most addictive, compelling gameplay yet. Explore the alien planet that is your new home and uncover its myriad mysteries. Discover over 75 extraordinary technologies. Build over 60 base upgrades and large-scale secret projects for your empire. Conquer your enemies with a war machine that you design from over 32,000 possible unit types. [Firaxis]",19,Firaxis Games,Electronic Arts,1,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X"
50,Galactic Civilizations II: Twilight of the Arnor,"April 30, 2008",PC,92,8.3,"The galaxy is being consumed by the fires of war as we enter the final act of the Dread Lord saga. Galactic Civilizations II: Twilight of the Arnor is the second  expansion pack to the award-winning PC strategy game, Galactic Civilizations II. Galactic Civilizations II: Twilight of the Arnor expands the gameplay of Galactic Civilizations in all new ways. New campaign detailing the final chapter in the Dread Lords wars. The Terror Star arrives, capable of destroying any star. Unique technology trees for all 12 civilizations. Unique planetary improvements for each civilization. New 3D engine powered map editor. New Scenario Editor for creating highly detailed custom games. New Campaign Editor for players who want to create their own custom epic campaigns for themselves or to share with others. New Metaverse Tournaments: Specific maps & scenarios recorded to the Metaverse with prizes for top players. [Stardock]",19,Stardock,Stardock,1,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X"
51,Final Fantasy XIV: Endwalker,"December 7, 2021",PC,92,9.4,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.",28,Square Enix,Square Enix,3,"Role-Playing,Massively Multiplayer"
52,Out of the Park Baseball 17,"March 22, 2016",PC,92,3.3,"Step into the shoes of a team owner, GM, and/or field manager to own the future or rewrite the past of your favorite real-world club. Start a new career with 2016 Opening Day rosters of the real major or minor leagues, or span through 150 years of history and run any club from the past! Perform drafts, trades, scouting, waivers, team finances and personnel. Negotiate player contracts. Dive into the more hands-on management and set your team's lineups, pitching staffs, and in-game strategy. You can oversee your league at a high level, or play out each game, managing play by play or even pitch by pitch!",8,Out Of The Park Developments,Out Of The Park Developments,1,"Sports,Team,Baseball,Sim"
53,The Witcher 3: Wild Hunt - Blood and Wine,"May 30, 2016",PC,92,9.1,"This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.",50,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,3,"Role-Playing,Action RPG"
54,Tiger Woods PGA Tour 2003,"November 5, 2002",PC,92,5.0,"New course lineup: Twelve detailed courses include Pebble Beach Golf Links, TPC of Scottsdale and Torrey Pines South. New effects: Feel the sun, the wind, the fog and the grass as you walk 18. The most PGA TOUR pros: Play as or against Tiger Woods, Ty Tryon, Vijay Singh, Brad Faxon and many others. TrueSwing technology: Take full control over your swing, from straight drives to hooks and draws. Career mode: Purchase new equipment and lessons, hone your skills, and make your way to the top of the career rankings. [EA Sports]",14,Headgate,Electronic Arts,2,"Sports,Traditional,Individual,Golf,Sim,Sim"
55,Dishonored,"October 8, 2012",PC,91,8.5,"Approach each assassination with your own unique style. Use shadow and sound to your advantage to traverse silently through levels unseen by enemies, or attack foes head-on as they react to your aggression. The malleable combat system allows you to creatively synthesize your abilities, supernatural powers and gadgets as you negotiate your way through the levels and dispatch your targets. Improvise and adapt to define your modus operandi.",29,Arkane Studios,Bethesda Softworks,3,"Action Adventure,Modern,General,Modern"
